seed,hw,area,graph,method,makespan
0,0.7,0.9,resnet,jade,18629.163527484412
0,0.7,0.9,resnet,random,18629.163527484412
0,0.7,0.9,resnet,shade,18629.163527484412
0,0.7,0.9,squeezenet,ccpso,9466.81381582347
0,0.7,0.9,squeezenet,clpso,9466.81381582347
0,0.7,0.9,squeezenet,esa,9466.81381582347
0,0.7,0.9,squeezenet,gl25,5559.689859767188
0,0.7,0.9,squeezenet,greedy,5680.317612772094
0,0.7,0.9,squeezenet,jade,9466.81381582347
0,0.7,0.9,squeezenet,random,9466.81381582347
0,0.7,0.9,squeezenet,shade,8881.010388600114
0,0.9,0.1,resnet,ccpso,18629.163527484412
0,0.9,0.1,resnet,clpso,18629.163527484412
0,0.9,0.1,resnet,esa,18629.163527484412
0,0.9,0.1,resnet,gl25,18629.163527484412
0,0.9,0.1,resnet,greedy,22531.023654025164
0,0.9,0.1,resnet,jade,18629.163527484412
0,0.9,0.1,resnet,random,18629.163527484412
0,0.9,0.1,resnet,shade,18629.163527484412
0,0.9,0.1,squeezenet,ccpso,9466.81381582347
0,0.9,0.1,squeezenet,clpso,9466.81381582347
0,0.9,0.1,squeezenet,esa,9466.81381582347
0,0.9,0.1,squeezenet,gl25,9466.81381582347
0,0.9,0.1,squeezenet,greedy,12203.819926091695
0,0.9,0.1,squeezenet,jade,9466.81381582347
0,0.9,0.1,squeezenet,random,9466.81381582347
0,0.9,0.1,squeezenet,shade,9466.81381582347
0,0.9,0.3,resnet,ccpso,18629.163527484412
0,0.9,0.3,resnet,clpso,18629.163527484412
0,0.9,0.3,resnet,esa,18629.163527484412
0,0.9,0.3,resnet,gl25,18629.163527484412
0,0.9,0.3,resnet,greedy,25052.73725670805
0,0.9,0.3,resnet,jade,18629.163527484412
0,0.9,0.3,resnet,random,18629.163527484412
0,0.9,0.3,resnet,shade,18629.163527484412
0,0.9,0.3,squeezenet,ccpso,9466.81381582347
0,0.9,0.3,squeezenet,clpso,9466.81381582347
0,0.9,0.3,squeezenet,esa,9466.81381582347
0,0.9,0.3,squeezenet,gl25,9466.81381582347
0,0.9,0.3,squeezenet,greedy,13971.665987297614
0,0.9,0.3,squeezenet,jade,9466.81381582347
0,0.9,0.3,squeezenet,random,9466.81381582347
0,0.9,0.3,squeezenet,shade,9466.81381582347
0,0.9,0.5,resnet,ccpso,18629.163527484412
0,0.9,0.5,resnet,clpso,18629.163527484412
0,0.9,0.5,resnet,esa,18629.163527484412
0,0.9,0.5,resnet,gl25,16470.81791884311
0,0.9,0.5,resnet,greedy,24511.083717813548
0,0.9,0.5,resnet,jade,18629.163527484412
0,0.9,0.5,resnet,random,18629.163527484412
0,0.9,0.5,resnet,shade,18629.163527484412
0,0.9,0.5,squeezenet,ccpso,9466.81381582347
0,0.9,0.5,squeezenet,clpso,9466.81381582347
0,0.9,0.5,squeezenet,esa,7344.688733237154
0,0.9,0.5,squeezenet,gl25,7257.94982416208
0,0.9,0.5,squeezenet,greedy,12874.8370847959
0,0.9,0.5,squeezenet,jade,9466.81381582347
0,0.9,0.5,squeezenet,random,9466.81381582347
0,0.9,0.5,squeezenet,shade,9466.81381582347
0,0.9,0.7,resnet,ccpso,18629.163527484412
0,0.9,0.7,resnet,clpso,18629.163527484412
0,0.9,0.7,resnet,esa,18629.163527484412
0,0.9,0.7,resnet,gl25,13365.02578626535
0,0.9,0.7,resnet,greedy,22935.94483506816
0,0.9,0.7,resnet,jade,18629.163527484412
0,0.9,0.7,resnet,random,18629.163527484412
0,0.9,0.7,resnet,shade,18629.163527484412
0,0.9,0.7,squeezenet,ccpso,9466.81381582347
0,0.9,0.7,squeezenet,clpso,9466.81381582347
0,0.9,0.7,squeezenet,esa,9466.81381582347
0,0.9,0.7,squeezenet,gl25,6040.660509196776
0,0.9,0.7,squeezenet,greedy,10809.9516399741
0,0.9,0.7,squeezenet,jade,9466.81381582347
0,0.9,0.7,squeezenet,random,9466.81381582347
0,0.9,0.7,squeezenet,shade,9466.81381582347
0,0.9,0.9,resnet,ccpso,18629.163527484412
0,0.9,0.9,resnet,clpso,18629.163527484412
0,0.9,0.9,resnet,esa,18629.163527484412
0,0.9,0.9,resnet,gl25,12978.36231305647
0,0.9,0.9,resnet,greedy,15805.187908229516
0,0.9,0.9,resnet,jade,18629.163527484412
0,0.9,0.9,resnet,random,18629.163527484412
0,0.9,0.9,resnet,shade,18629.163527484412
0,0.9,0.9,squeezenet,ccpso,9466.81381582347
0,0.9,0.9,squeezenet,clpso,9466.81381582347
0,0.9,0.9,squeezenet,esa,9466.81381582347
0,0.9,0.9,squeezenet,gl25,5967.3591348286045
0,0.9,0.9,squeezenet,greedy,7631.856782190593
0,0.9,0.9,squeezenet,jade,9466.81381582347
0,0.9,0.9,squeezenet,random,9466.81381582347
0,0.9,0.9,squeezenet,shade,9466.81381582347
1,0.1,0.1,resnet,ccpso,18102.04304546023
1,0.1,0.1,resnet,clpso,18102.04304546023
1,0.1,0.1,resnet,esa,18102.04304546023
1,0.1,0.1,resnet,gl25,18102.04304546023
1,0.1,0.1,resnet,greedy,19646.30281174606
1,0.1,0.1,resnet,jade,18102.04304546023
1,0.1,0.1,resnet,random,18102.04304546023
1,0.1,0.1,resnet,shade,18102.04304546023
1,0.1,0.1,squeezenet,ccpso,8769.553212251989
1,0.1,0.1,squeezenet,clpso,8769.553212251989
1,0.1,0.1,squeezenet,esa,8769.553212251989
1,0.1,0.1,squeezenet,gl25,8769.553212251989
1,0.1,0.1,squeezenet,greedy,10135.751130264776
1,0.1,0.1,squeezenet,jade,8769.553212251989
1,0.1,0.1,squeezenet,random,8769.553212251989
1,0.1,0.1,squeezenet,shade,8769.553212251989
1,0.1,0.3,resnet,ccpso,18102.04304546023
1,0.1,0.3,resnet,clpso,18102.04304546023
1,0.1,0.3,resnet,esa,18102.04304546023
1,0.1,0.3,resnet,gl25,18102.04304546023
1,0.1,0.3,resnet,greedy,21698.29324736169
1,0.1,0.3,resnet,jade,18102.04304546023
1,0.1,0.3,resnet,random,18102.04304546023
1,0.1,0.3,resnet,shade,18102.04304546023
1,0.1,0.3,squeezenet,ccpso,8769.553212251989
1,0.1,0.3,squeezenet,clpso,8769.553212251989
1,0.1,0.3,squeezenet,esa,8769.553212251989
1,0.1,0.3,squeezenet,gl25,8769.553212251989
1,0.1,0.3,squeezenet,greedy,12136.045174310157
1,0.1,0.3,squeezenet,jade,8769.553212251989
1,0.1,0.3,squeezenet,random,8769.553212251989
1,0.1,0.3,squeezenet,shade,8769.553212251989
1,0.1,0.5,resnet,ccpso,18102.04304546023
1,0.1,0.5,resnet,clpso,18102.04304546023
1,0.1,0.5,resnet,esa,18102.04304546023
1,0.1,0.5,resnet,gl25,16342.833388219464
1,0.1,0.5,resnet,greedy,25217.113433918494
1,0.1,0.5,resnet,jade,18102.04304546023
1,0.1,0.5,resnet,random,18102.04304546023
1,0.1,0.5,resnet,shade,18102.04304546023
1,0.1,0.5,squeezenet,ccpso,8769.553212251989
1,0.1,0.5,squeezenet,clpso,8769.553212251989
1,0.1,0.5,squeezenet,esa,8909.916687702884
1,0.1,0.5,squeezenet,gl25,8070.222312216329
1,0.1,0.5,squeezenet,greedy,12767.28287347087
1,0.1,0.5,squeezenet,jade,8769.553212251989
1,0.1,0.5,squeezenet,random,8769.553212251989
1,0.1,0.5,squeezenet,shade,8769.553212251989
1,0.1,0.7,resnet,ccpso,18102.04304546023
1,0.1,0.7,resnet,clpso,18102.04304546023
1,0.1,0.7,resnet,esa,18102.04304546023
1,0.1,0.7,resnet,gl25,12258.419074596746
1,0.1,0.7,resnet,greedy,19964.9476244598
1,0.1,0.7,resnet,jade,18102.04304546023
1,0.1,0.7,resnet,random,18102.04304546023
1,0.1,0.7,resnet,shade,18102.04304546023
1,0.1,0.7,squeezenet,ccpso,8769.553212251989
1,0.1,0.7,squeezenet,clpso,8769.553212251989
1,0.1,0.7,squeezenet,esa,8769.553212251989
1,0.1,0.7,squeezenet,gl25,6902.351056826748
1,0.1,0.7,squeezenet,greedy,11474.031131276652
1,0.1,0.7,squeezenet,jade,9096.313904876884
1,0.1,0.7,squeezenet,random,8769.553212251989
1,0.1,0.7,squeezenet,shade,8769.553212251989
1,0.1,0.9,resnet,ccpso,18102.04304546023
1,0.1,0.9,resnet,clpso,18102.04304546023
1,0.1,0.9,resnet,esa,18102.04304546023
